

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
069.260  000.121  000.121: require('cmp.utils.async')
069.439  000.075  000.075: require('cmp.utils.cache')
069.442  000.180  000.105: require('cmp.context')
069.954  000.129  000.129: require('cmp.config.mapping')
070.240  000.175  000.175: require('cmp.config.compare')
070.242  000.285  000.111: require('cmp.config.default')
070.249  000.582  000.167: require('cmp.config')
070.748  000.159  000.159: require('cmp.matcher')
070.753  000.494  000.335: require('cmp.entry')
070.758  001.314  000.239: require('cmp.source')
070.989  000.078  000.078: require('cmp.utils.event')
071.316  000.200  000.200: require('cmp.utils.window')
071.319  000.327  000.127: require('cmp.view.docs_view')
071.608  000.288  000.288: require('cmp.view.custom_entries_view')
071.805  000.194  000.194: require('cmp.view.wildmenu_entries_view')
071.954  000.148  000.148: require('cmp.view.native_entries_view')
072.066  000.109  000.109: require('cmp.view.ghost_text_view')
072.073  001.314  000.170: require('cmp.view')
072.101  003.977  000.367: require('cmp.core')
072.239  000.069  000.069: require('cmp.config.sources')
072.313  000.071  000.071: require('cmp.config.window')
072.345  004.449  000.332: require('cmp')
072.662  000.045  000.045: require('cmp_buffer.timer')
072.666  000.207  000.161: require('cmp_buffer.buffer')
072.669  000.295  000.088: require('cmp_buffer.source')
072.671  000.324  000.029: require('cmp_buffer')
072.682  004.798  000.025: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
072.894  000.154  000.154: require('cmp_cmdline')
072.907  000.179  000.025: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/cmp-cmdline/after/plugin/cmp_cmdline.lua
072.976  000.021  000.021: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
073.195  000.166  000.166: require('cmp_path')
073.221  000.204  000.037: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
073.415  000.125  000.125: require('cmp_luasnip')
073.442  000.172  000.047: sourcing /home/j0rdi/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
074.073  000.382  000.382: require('alpha')
074.154  000.077  000.077: require('alpha.themes.dashboard')
077.103  003.463  003.004: sourcing /home/j0rdi/.config/nvim/after/plugin/alpha.lua
077.452  000.173  000.173: require('nvim-autopairs.fastwrap')
077.822  000.143  000.143: require('nvim-autopairs.ts-conds')
077.825  000.223  000.080: require('nvim-autopairs.rules.ts_basic')
078.300  000.106  000.106: require('nvim-autopairs.completion.handlers')
078.304  000.215  000.109: require('nvim-autopairs.completion.cmp')
078.310  001.183  000.572: sourcing /home/j0rdi/.config/nvim/after/plugin/autopairs.lua
078.619  000.035  000.035: require('bufferline.lazy')
078.662  000.038  000.038: require('bufferline.constants')
078.812  000.148  000.148: require('bufferline.commands')
078.819  000.425  000.204: require('bufferline')
078.973  000.149  000.149: require('bufferline.utils')
079.295  000.318  000.318: require('bufferline.config')
079.599  000.273  000.273: require('bufferline.groups')
079.706  000.081  000.081: require('bufferline.colors')
080.000  000.151  000.151: require('bufferline.highlights')
080.761  000.076  000.076: require('bufferline.hover')
081.185  000.385  000.385: require('bufferline.ui')
081.220  002.895  001.037: sourcing /home/j0rdi/.config/nvim/after/plugin/bufferline.lua
081.784  000.176  000.176: require('luasnip.session.snippet_collection')
082.104  000.226  000.226: require('luasnip.util._builtin_vars')
082.141  000.033  000.033: require('vim.inspect')
082.168  000.382  000.122: require('luasnip.util.environ')
082.222  000.052  000.052: require('luasnip.util.extend_decorator')
082.337  000.034  000.034: require('luasnip.loaders._caches')
082.452  000.113  000.113: require('luasnip.util.path')
082.464  000.240  000.094: require('luasnip.loaders')
082.571  000.102  000.102: require('luasnip.util.log')
082.582  001.305  000.353: require('luasnip')
082.718  000.135  000.135: require('lspkind')
083.117  001.880  000.440: sourcing /home/j0rdi/.config/nvim/after/plugin/cmp.lua
084.309  000.435  000.435: require('colorizer.trie')
084.623  000.311  000.311: require('colorizer.utils')
084.630  001.034  000.289: require('colorizer.color')
085.101  000.257  000.257: require('colorizer.sass')
085.116  000.484  000.227: require('colorizer.matcher')
085.273  000.155  000.155: require('colorizer.tailwind')
085.277  001.869  000.195: require('colorizer.buffer')
085.285  002.135  000.267: require('colorizer')
085.311  002.175  000.040: sourcing /home/j0rdi/.config/nvim/after/plugin/colorizer.lua
085.409  000.064  000.064: require('Comment')
085.514  000.103  000.103: require('ts_context_commentstring.integrations.comment_nvim')
085.630  000.304  000.137: sourcing /home/j0rdi/.config/nvim/after/plugin/comment.lua
086.108  000.130  000.130: require('gitsigns.async')
086.172  000.061  000.061: require('gitsigns.status')
086.724  000.134  000.134: require('gitsigns.debug')
086.887  000.161  000.161: require('gitsigns.util')
087.077  000.082  000.082: require('gitsigns.uv')
087.080  000.191  000.108: require('gitsigns.subprocess')
087.719  000.047  000.047: require('gitsigns.message')
087.744  000.359  000.312: require('gitsigns.config')
087.794  000.048  000.048: require('gitsigns.signs.base')
087.797  000.462  000.056: require('gitsigns.signs')
087.800  000.719  000.257: require('gitsigns.hunks')
087.844  001.670  000.466: require('gitsigns.git')
088.282  000.085  000.085: require('gitsigns.cache')
088.359  000.075  000.075: require('gitsigns.debounce')
088.415  000.053  000.053: require('gitsigns.diff')
088.426  000.580  000.368: require('gitsigns.manager')
088.630  000.202  000.202: require('gitsigns.highlight')
088.646  002.976  000.332: require('gitsigns')
089.210  000.146  000.146: require('gitsigns.signs.vimfn')
089.909  004.261  001.139: sourcing /home/j0rdi/.config/nvim/after/plugin/git-signs.lua
090.607  000.093  000.093: require('harpoon.utils')
090.970  000.265  000.265: require('plenary.log')
091.030  000.420  000.155: require('harpoon.dev')
091.303  001.004  000.491: require('harpoon')
091.318  001.316  000.312: require('harpoon.mark')
092.305  000.198  000.198: require('plenary.strings')
092.309  000.451  000.253: require('plenary.window.border')
092.402  000.092  000.092: require('plenary.window')
092.497  000.093  000.093: require('plenary.popup.utils')
092.504  000.967  000.332: require('plenary.popup')
092.511  001.191  000.224: require('harpoon.ui')
092.561  002.621  000.114: sourcing /home/j0rdi/.config/nvim/after/plugin/harpoon.lua
092.650  000.066  000.066: sourcing /home/j0rdi/.config/nvim/after/plugin/illuminate.lua
097.265  004.585  004.585: require('impatient')
097.464  000.196  000.196: require('impatient.profile')
097.472  004.806  000.024: sourcing /home/j0rdi/.config/nvim/after/plugin/impatient.lua
097.566  000.075  000.075: sourcing /home/j0rdi/.config/nvim/after/plugin/indent-blankline.lua
097.690  000.035  000.035: require('lualine_require')
097.896  000.293  000.258: require('lualine')
099.579  000.075  000.075: require('lualine.utils.mode')
100.766  003.182  002.814: sourcing /home/j0rdi/.config/nvim/after/plugin/lualine.lua
101.434  000.280  000.280: require('nvim-tree.notify')
101.440  000.319  000.039: require('nvim-tree.events')
101.597  000.055  000.055: require('nvim-tree.log')
101.759  000.055  000.055: require('nvim-tree.iterators.node-iterator')
101.782  000.181  000.126: require('nvim-tree.utils')
101.865  000.081  000.081: require('nvim-tree.git.utils')
101.930  000.061  000.061: require('nvim-tree.git.runner')
101.998  000.065  000.065: require('nvim-tree.watcher')
102.068  000.067  000.067: require('nvim-tree.explorer.node')
102.073  000.595  000.084: require('nvim-tree.git')
102.121  000.047  000.047: require('nvim-tree.explorer.watch')
102.212  000.045  000.045: require('nvim-tree.explorer.node-builders')
102.248  000.033  000.033: require('nvim-tree.explorer.sorters')
102.296  000.045  000.045: require('nvim-tree.explorer.filters')
102.399  000.051  000.051: require('nvim-tree.view')
102.403  000.105  000.054: require('nvim-tree.live-filter')
102.406  000.281  000.054: require('nvim-tree.explorer.explore')
102.445  000.037  000.037: require('nvim-tree.explorer.reload')
102.448  001.006  000.045: require('nvim-tree.explorer')
102.451  001.388  000.063: require('nvim-tree.core')
102.504  000.038  000.038: require('nvim-tree.diagnostics')
102.564  000.026  000.026: require('nvim-tree.modified')
102.567  000.059  000.033: require('nvim-tree.renderer.components.modified')
102.599  000.031  000.031: require('nvim-tree.renderer.components.padding')
102.631  000.030  000.030: require('nvim-tree.renderer.components.icons')
102.666  000.032  000.032: require('nvim-tree.renderer.components.full-name')
102.715  000.047  000.047: require('nvim-tree.renderer.help')
102.767  000.049  000.049: require('nvim-tree.renderer.components.git')
102.828  000.046  000.046: require('nvim-tree.renderer.builder')
102.892  000.047  000.047: require('nvim-tree.marks')
102.898  001.889  000.123: require('nvim-tree.renderer')
102.936  000.034  000.034: require('nvim-tree.actions.tree-modifiers.collapse-all')
102.967  000.028  000.028: require('nvim-tree.actions.root.dir-up')
103.001  000.032  000.032: require('nvim-tree.actions.root.change-dir')
103.035  000.032  000.032: require('nvim-tree.actions.reloaders.reloaders')
103.070  000.031  000.031: require('nvim-tree.actions.finders.find-file')
103.072  002.118  000.073: require('nvim-tree.lib')
103.107  000.034  000.034: require('nvim-tree.colors')
103.139  000.028  000.028: require('nvim-tree.legacy')
103.182  000.040  000.040: require('nvim-tree.actions.fs.copy-paste')
103.252  000.032  000.032: require('nvim-tree.actions.tree-modifiers.expand-all')
103.297  000.042  000.042: require('nvim-tree.actions.tree-modifiers.toggles')
103.353  000.049  000.049: require('nvim-tree.actions.fs.create-file')
